"type","value","source"
"domain","cryptothistech.com","Mandiant"
"domain","cucudor.com","Mandiant"
"domain","cyberwaytransfer.net","Mandiant"
"domain","d5b74r04.na1.hubspotlinksfree.com","Mandiant"
"domain","dallasjoin.com","Mandiant"
"domain","data.action-redir.com","Mandiant"
"domain","data.active-redir.com","Mandiant"
"domain","datacryptosafe.com","Mandiant"
"domain","datadocsview.com","Mandiant"
"domain","datagatellc.com","Mandiant"
"domain","datagatewaydoc.com","Mandiant"
"domain","datagatewayglobal.com","Mandiant"
"domain","datainfosecure.com","Mandiant"
"domain","datastoragecrypto.com","Mandiant"
"domain","datawebhub.com","Mandiant"
"domain","datcrossing.com","Mandiant"
"domain","dbasecheck.com","Mandiant"
"domain","dbasechecker.com","Mandiant"
"domain","default-dns.online","Mandiant"
"domain","defoffresult.com","Mandiant"
"domain","defproresults.com","Mandiant"
"domain","delitky.com","Mandiant"
"domain","desgnspiration.net","Mandiant"
"domain","designingnewworlds.com","Mandiant"
"domain","deskactivitygm.com","Mandiant"
"domain","desktop-dns.com","Mandiant"
"domain","desktopjoin.com","Mandiant"
"domain","deviceweblib.net","Mandiant"
"domain","diananithilamills.com","Mandiant"
"domain","digitalhubdata.com","Mandiant"
"domain","digitalworkdata.com","Mandiant"
"domain","directdocprimary.com","Mandiant"
"domain","directdocumentgate.com","Mandiant"
"domain","directdocumentgateway.com","Mandiant"
"domain","directdocumentinfo.com","Mandiant"
"domain","directdocumentpro.com","Mandiant"
"domain","directexpressgateway.com","Mandiant"
"domain","directkeeperstorage.com","Mandiant"
"domain","directsgate.com","Mandiant"
"domain","directstoragegate.com","Mandiant"
"domain","directstoragepro.com","Mandiant"
"domain","dirouteml.org","Mandiant"
"domain","divisionintro.com","Mandiant"
"domain","dizizle.org","Mandiant"
"domain","dj-kqf04.eu1.hubspotlinksfree.com","Mandiant"
"domain","dj-try04.eu1.hubspotlinksfree.com","Mandiant"
"domain","dj-vl704.eu1.hubspotlinksfree.com","Mandiant"
"domain","djr6t104.eu1.hubspotlinksfree.com","Mandiant"
"domain","djrzf704.eu1.hubspotlinksfree.com","Mandiant"
"domain","djs36c04.eu1.hubspotlinksfree.com","Mandiant"
"domain","djs53104.eu1.hubspotlinksfree.com","Mandiant"
"domain","djskzh04.eu1.hubspotlinksfree.com","Mandiant"
"domain","djslws04.eu1.hubspotlinksfree.com","Mandiant"
"domain","djt47x04.eu1.hubspotlinksfree.com","Mandiant"
"domain","djvcl404.eu1.hubspotlinksfree.com","Mandiant"
